학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT2002,01,Humanities & creativity,조회,3.0,월 13:30~16:15 [X514],3.0,정지수,28,O,,,,,,,,,전학년,1-4학년,,구) ANT2003,"""수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한

"""
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT2004,01,Intro to Creative Computing,조회,3.0,"화,목 09:00~10:15 [X513]",3.0,김주섭,36,O,,,,,,,,,"2,3,4학년",1-4학년,,구) ANT2010,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT2005,01,Creative Capstone Project I(캡스톤디자인),조회,3.0,금 16:30~19:00 [X514],3.0,"최용순, 오준호, 주진호, 정다샘",13,,,,,,,,,,"3,4학년",3-4학년,,구) ANT4020,"1전공만으로 수강제한, 개별연구지도 과목"
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT2006,01,Creative Capstone Project II(캡스톤디자인),조회,3.0,금 16:30~19:00 [X514],3.0,"최용순, 오준호, 주진호, 정다샘",7,,,,,,,,,,"3,4학년",3-4학년,,구) ANT4013,"1전공만으로 수강제한, 개별연구지도 과목"
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT2008,01,Foundations of Human-Computer Interaction,조회,3.0,"월,수 10:30~11:45 [X427]",3.0,주진호,39,O,,,,,,,,,"2,3,4학년",2-4학년,,,"""수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한


"""
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT2009,01,Interactive Storytelling,조회,3.0,"수,금 13:30~14:45 [MA201]",3.0,김상용,31,O,,,,,,,,,"2,3,4학년",2-4학년,,전공필수대체과목(2015-2018학번),"""수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한


"""
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT3002,01,Content Planning & Development,조회,3.0,금 10:30~13:15 [X427],3.0,김민영,34,O,,,,,,,,,"2,3,4학년",3-4학년,,"구)CONTENT PLANNING, DEVELOPMENT & BUSINE",수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT3003,01,Digital Fabrication(캡스톤디자인),조회,3.0,"화,목 16:30~17:45 [X513]",3.0,최용순,30,O,,,,,,,,,"2,3,4학년",2-4학년,,구)ANT2009실감형콘텐츠프로젝트/인터랙션을위한센싱및인터페이스(ANT4,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT3004,01,Intro to Sonic Art,조회,3.0,금 10:30~13:15 [X423],3.0,오예민,41,O,,,,,,,,,"2,3,4학년",2-4학년,,,"""수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한

"""
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT3015,01,3D Modeling,조회,3.0,금 10:30~13:15 [X513],3.0,이형기,27,O,,,,,,,,,"2,3,4학년",2-4학년,,구)3D MODELING STUDIO,"""수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한

"""
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT3019,01,Data Visualization,조회,3.0,"수,금 09:00~10:15 [X513]",3.0,김지원,38,O,,,,,,,,,"2,3,4학년",2-4학년,,"AAT3017, ANT3004의 대체과목",수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT3020,01,Natural Language Processing,조회,3.0,"화,목 15:00~16:15 [X423]",3.0,정다샘,25,O,,,,,,,,,"2,3,4학년",2-4학년,,MAS2009의 대체과목,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT4001,01,Computer Graphics,조회,3.0,"화,목 10:30~11:45 [X513]",3.0,김주섭,20,O,,,,,,,,,"2,3,4학년",2-4학년,,,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT4005,01,Games & Interactive Media,조회,3.0,"수,금 13:30~14:45 [X423]",3.0,김민영,29,O,,,,,,,,,"3,4학년",3-4학년,,구)GAME STUDIO,수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한
2024 학년도,1학기,대학,아트&테크놀로지학과,AAT4008,01,Visual Effects,조회,3.0,월 13:30~16:15 [X513],3.0,이형기,29,O,,,,,,,,,"2,3,4학년",3-4학년,,구)VFX STUDIO,"""수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한

"""
2024 학년도,1학기,대학,아트&테크놀로지학과,AATG015,01,Deep learning for Music & Audio,조회,3.0,월 13:30~16:15 [X423],3.0,정다샘,14,,,,,,,,,,"3,4학년",3-4학년,,,"학석사연계과목, 수강신청기간 중에는 아텍전공생(1전공 및 다전공자)으로 신청제한"
